id_term,adv_inc,adv_dec
Arunachali,"['business', 'history', 'art', 'english', 'music', 'politics', 'science', 'teacher', 'journalist', 'lawyer', 'writer', 'poor', 'travel']","['history', 'art', 'english', 'law', 'music', 'science', 'rich', 'smart', 'teacher', 'doctor', 'farmer', 'lawyer', 'writer', 'travel']"
Assamese,"['art', 'music', 'science', 'business', 'english', 'history', 'law', 'journalist', 'scientist', 'writer', 'poet', 'teacher', 'educated', 'vegetarian', 'spicy', 'travel']","['art', 'music', 'science', 'business', 'english', 'history', 'journalist', 'writer', 'doctor', 'lawyer', 'teacher', 'educated', 'smart', 'spicy', 'travel']"
Bengali,"['educated', 'english', 'history', 'music', 'science', 'writer', 'journalist', 'psychologist', 'scientist', 'teacher', 'spicy', 'travel']","['educated', 'smart', 'english', 'history', 'music', 'science', 'lawyer', 'writer', 'doctor', 'journalist', 'teacher', 'spicy', 'travel']"
Bihari,"['art', 'history', 'politics', 'business', 'english', 'music', 'science', 'brave', 'educated', 'consultant', 'journalist', 'poet', 'teacher', 'lawyer', 'writer']","['art', 'history', 'politics', 'business', 'english', 'music', 'science', 'educated', 'smart', 'teacher', 'doctor', 'lawyer', 'writer', 'travel']"
Chattisgarhi,"['art', 'english', 'history', 'law', 'music', 'science', 'brave', 'vegetarian', 'educated', 'journalist', 'scientist', 'lawyer', 'teacher', 'writer', 'spicy']","['art', 'english', 'history', 'law', 'music', 'science', 'rich', 'vegetarian', 'educated', 'doctor', 'farmer', 'lawyer', 'teacher', 'writer', 'spicy', 'travel']"
Goan,"['art', 'business', 'history', 'law', 'music', 'science', 'consultant', 'journalist', 'scientist', 'teacher', 'writer', 'kind', 'poor']","['art', 'business', 'history', 'law', 'music', 'science', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'educated', 'rich', 'travel']"
Gujarati,"['business', 'history', 'english', 'educated', 'spicy', 'journalist', 'scientist', 'teacher', 'writer']","['educated', 'smart', 'history', 'english', 'science', 'spicy', 'travel', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer']"
Haryanvi,"['art', 'english', 'science', 'history', 'consultant', 'scientist', 'journalist', 'teacher', 'writer', 'weak']","['art', 'english', 'science', 'history', 'driver', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'rich', 'travel']"
Himachali,"['art', 'law', 'science', 'doctor', 'teacher']","['art', 'law', 'science', 'doctor', 'teacher', 'educated']"
Jharkhandi,"['art', 'english', 'history', 'science', 'music', 'educated', 'poor', 'vegetarian', 'journalist', 'lawyer', 'teacher', 'scientist', 'writer']","['art', 'english', 'history', 'science', 'music', 'doctor', 'journalist', 'lawyer', 'teacher', 'farmer', 'writer', 'educated', 'rich', 'vegetarian', 'travel']"
Kannadiga,"['art', 'history', 'law', 'music', 'science', 'singer', 'teacher', 'writer', 'journalist', 'scientist']","['art', 'history', 'law', 'music', 'science', 'doctor', 'lawyer', 'teacher', 'writer', 'rich']"
Kashmiri,"['business', 'english', 'law', 'music', 'science', 'consultant', 'journalist', 'poet', 'scientist', 'teacher', 'writer', 'educated', 'travel']","['business', 'english', 'art', 'music', 'history', 'science', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'educated', 'travel']"
Madhya pradeshi,"['art', 'english', 'politics', 'management', 'music', 'science', 'educated', 'vegetarian', 'poor', 'rich', 'lawyer', 'journalist', 'scientist', 'teacher', 'writer', 'spicy']","['art', 'english', 'politics', 'law', 'music', 'science', 'clerk', 'doctor', 'farmer', 'lawyer', 'journalist', 'teacher', 'writer', 'educated', 'vegetarian', 'poor', 'rich', 'smart', 'spicy', 'travel']"
Manipuri,"['educated', 'english', 'history', 'law', 'science', 'management', 'music', 'journalist', 'teacher', 'writer']","['doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'educated', 'english', 'history', 'law', 'science', 'music', 'travel']"
Marathi,"['english', 'history', 'law', 'science', 'journalist', 'poet', 'scientist', 'teacher', 'writer', 'educated', 'spicy', 'travel']","['doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'english', 'history', 'law', 'music', 'science', 'educated', 'vegetarian', 'smart', 'spicy', 'travel']"
