id_term,adv_past,adv_present,adv_future
Arunachali,"['history', 'art', 'english', 'law', 'music', 'politics', 'science', 'rich', 'kind', 'poor', 'powerful', 'teacher', 'doctor', 'journalist', 'priest', 'writer', 'travel']","['business', 'history', 'english', 'management', 'science', 'teacher', 'doctor', 'journalist', 'lawyer', 'writer', 'poor', 'travel']","['athlete', 'teacher', 'coach', 'doctor', 'lawyer', 'history', 'english', 'law', 'music', 'science', 'rich', 'beautiful']"
Assamese,"['art', 'music', 'science', 'english', 'history', 'clerk', 'journalist', 'priest', 'scientist', 'writer', 'doctor', 'nurse', 'teacher', 'poor', 'educated', 'kind', 'spicy', 'travel']","['journalist', 'scientist', 'writer', 'poet', 'teacher', 'management', 'science', 'english', 'history', 'law', 'poor', 'educated', 'spicy', 'travel']","['science', 'business', 'english', 'history', 'law', 'brave', 'educated', 'manager', 'secretary', 'teacher', 'spicy']"
Bengali,"['clerk', 'writer', 'doctor', 'journalist', 'scientist', 'teacher', 'educated', 'poor', 'rich', 'english', 'music', 'science', 'law', 'spicy', 'travel']","['educated', 'english', 'history', 'science', 'writer', 'journalist', 'scientist', 'teacher', 'spicy', 'travel']","['english', 'history', 'music', 'science', 'law', 'lawyer', 'writer', 'journalist', 'teacher', 'rich']"
Bihari,"['art', 'history', 'law', 'politics', 'english', 'music', 'science', 'brave', 'educated', 'kind', 'rich', 'journalist', 'teacher', 'clerk', 'doctor', 'lawyer', 'politician', 'writer', 'travel']","['art', 'history', 'english', 'music', 'science', 'educated', 'journalist', 'poet', 'teacher', 'doctor', 'lawyer', 'manager', 'writer', 'travel']","['art', 'history', 'law', 'business', 'english', 'music', 'science', 'brave', 'rich', 'coach', 'teacher', 'doctor', 'lawyer', 'manager']"
Chattisgarhi,"['art', 'english', 'history', 'law', 'music', 'science', 'brave', 'rich', 'vegetarian', 'educated', 'powerful', 'journalist', 'priest', 'doctor', 'farmer', 'lawyer', 'teacher', 'writer', 'spicy', 'travel']","['english', 'history', 'law', 'science', 'journalist', 'lawyer', 'teacher', 'writer', 'rich', 'vegetarian', 'educated', 'spicy', 'travel']","['art', 'english', 'history', 'law', 'music', 'science', 'brave', 'rich', 'educated', 'doctor', 'lawyer', 'manager', 'teacher', 'spicy']"
Goan,"['art', 'history', 'law', 'music', 'science', 'beautiful', 'kind', 'poor', 'powerful', 'doctor', 'journalist', 'lawyer', 'priest', 'teacher', 'writer', 'travel']","['art', 'history', 'science', 'consultant', 'journalist', 'scientist', 'teacher', 'writer', 'cook', 'travel']","['art', 'history', 'music', 'science', 'coach', 'consultant', 'teacher', 'kind', 'rich']"
Gujarati,"['clerk', 'doctor', 'journalist', 'lawyer', 'nurse', 'teacher', 'writer', 'educated', 'poor', 'music', 'english', 'science', 'spicy', 'travel']","['educated', 'history', 'english', 'science', 'poet', 'journalist', 'scientist', 'teacher', 'writer', 'spicy', 'travel']","['consultant', 'journalist', 'teacher', 'writer', 'business', 'history', 'english', 'science', 'educated', 'rich']"
Haryanvi,"['art', 'science', 'history', 'powerful', 'kind', 'rich', 'weak', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'travel']","['art', 'english', 'management', 'science', 'history', 'consultant', 'journalist', 'poet', 'teacher', 'writer', 'rich', 'ugly']","['athlete', 'coach', 'consultant', 'director', 'manager', 'teacher', 'beautiful', 'poor', 'rich', 'weak', 'art', 'english', 'science', 'history', 'technology']"
Himachali,"['art', 'law', 'science', 'doctor', 'teacher']","['business', 'law', 'science', 'management', 'doctor', 'teacher', 'educated']","['law', 'science', 'doctor', 'teacher', 'educated']"
Jharkhandi,"['art', 'english', 'history', 'science', 'music', 'brave', 'educated', 'poor', 'powerful', 'rich', 'clerk', 'doctor', 'journalist', 'mechanic', 'teacher', 'priest', 'scientist', 'writer', 'travel']","['doctor', 'journalist', 'lawyer', 'teacher', 'poet', 'writer', 'criminal', 'educated', 'vegetarian', 'english', 'history', 'science', 'management', 'travel']","['athlete', 'dentist', 'doctor', 'journalist', 'lawyer', 'mechanic', 'teacher', 'writer', 'brave', 'educated', 'rich', 'english', 'history', 'science', 'music']"
Kannadiga,"['beautiful', 'rich', 'kind', 'poor', 'art', 'history', 'law', 'music', 'politics', 'science', 'doctor', 'priest', 'secretary', 'teacher', 'writer', 'journalist', 'manager', 'politician']","['director', 'poet', 'teacher', 'writer', 'producer', 'scientist', 'art', 'history', 'law', 'music', 'science', 'poor']","['beautiful', 'rich', 'director', 'teacher', 'writer', 'model', 'producer', 'art', 'history', 'law', 'music', 'science']"
Kashmiri,"['clerk', 'doctor', 'driver', 'journalist', 'lawyer', 'teacher', 'writer', 'english', 'music', 'history', 'science', 'travel']","['educated', 'english', 'law', 'history', 'management', 'science', 'journalist', 'lawyer', 'poet', 'scientist', 'teacher', 'writer', 'travel']","['doctor', 'driver', 'lawyer', 'teacher', 'english', 'law', 'music', 'history', 'science']"
Madhya pradeshi,"['art', 'english', 'politics', 'law', 'music', 'science', 'clerk', 'doctor', 'journalist', 'scientist', 'teacher', 'mechanic', 'writer', 'educated', 'vegetarian', 'poor', 'powerful', 'rich', 'spicy', 'travel']","['criminal', 'educated', 'poor', 'rich', 'english', 'history', 'management', 'science', 'doctor', 'lawyer', 'journalist', 'scientist', 'teacher', 'writer', 'spicy', 'travel']","['brave', 'educated', 'rich', 'english', 'law', 'music', 'science', 'consultant', 'doctor', 'farmer', 'lawyer', 'teacher', 'manager', 'model', 'pilot', 'politician', 'spicy', 'travel']"
Manipuri,"['doctor', 'journalist', 'teacher', 'writer', 'english', 'history', 'law', 'science', 'music', 'kind', 'powerful', 'rich', 'travel']","['english', 'history', 'science', 'management', 'journalist', 'lawyer', 'teacher', 'writer', 'travel']","['beautiful', 'coach', 'doctor', 'athlete', 'professor', 'teacher', 'writer', 'english', 'history', 'science', 'music']"
Marathi,"['clerk', 'doctor', 'journalist', 'director', 'lawyer', 'nurse', 'teacher', 'writer', 'english', 'law', 'music', 'science', 'educated', 'rich', 'vegetarian', 'poor', 'spicy', 'travel']","['english', 'history', 'science', 'journalist', 'poet', 'scientist', 'teacher', 'writer', 'educated', 'poor', 'spicy', 'travel']","['english', 'history', 'science', 'consultant', 'director', 'teacher', 'writer', 'educated', 'rich', 'spicy']"
Meghalayan,"['art', 'music', 'english', 'history', 'science', 'doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'educated', 'kind', 'poor', 'rich', 'vegetarian', 'travel']","['art', 'law', 'english', 'history', 'science', 'consultant', 'journalist', 'lawyer', 'teacher', 'scientist', 'writer', 'educated', 'vegetarian', 'travel']","['consultant', 'journalist', 'lawyer', 'manager', 'athlete', 'teacher', 'writer', 'law', 'music', 'english', 'history', 'science', 'educated']"
Mizo,['poor'],,['coach']
