id_term,neutral_framing,positive_framing,negative_framing
Arunachali,"['rich', 'teacher', 'coach', 'doctor', 'lawyer', 'politician', 'writer', 'english', 'law', 'music', 'politics']","['musician', 'poet', 'professor', 'teacher', 'artist', 'coach', 'farmer', 'pilot', 'politician', 'writer', 'rich', 'beautiful', 'kind', 'poor', 'strong', 'art', 'english', 'music', 'science']","['history', 'english', 'law', 'science', 'rich', 'poor', 'violent', 'teacher']"
Assamese,"['journalist', 'writer', 'doctor', 'lawyer', 'teacher', 'music', 'chemistry', 'english', 'law', 'spicy']","['art', 'music', 'science', 'english', 'artist', 'coach', 'writer', 'author', 'farmer', 'poet', 'politician', 'professor', 'singer', 'teacher', 'beautiful', 'handsome', 'kind', 'spicy']","['music', 'science', 'english', 'history', 'law', 'poor', 'educated', 'writer', 'teacher', 'spicy', 'travel']"
Bengali,"['chemistry', 'english', 'music', 'science', 'writer', 'doctor', 'journalist', 'teacher', 'spicy']","['artist', 'author', 'banker', 'professor', 'writer', 'politician', 'singer', 'teacher', 'beautiful', 'kind', 'smart', 'strong', 'english', 'music', 'science', 'spicy']","['educated', 'poor', 'english', 'history', 'science', 'teacher']"
Bihari,"['coach', 'teacher', 'doctor', 'lawyer', 'manager', 'politician', 'writer', 'history', 'politics', 'english', 'music']","['art', 'politics', 'business', 'english', 'music', 'science', 'artist', 'coach', 'poet', 'teacher', 'farmer', 'musician', 'politician', 'writer', 'strong', 'kind', 'rich']","['educated', 'violent', 'rich', 'history', 'law', 'english', 'music', 'science', 'teacher', 'politician']"
Chattisgarhi,"['art', 'english', 'history', 'law', 'music', 'politician', 'doctor', 'lawyer', 'teacher', 'writer', 'spicy']","['art', 'music', 'science', 'artist', 'poet', 'politician', 'cricketer', 'farmer', 'pilot', 'professor', 'singer', 'teacher', 'writer', 'beautiful', 'rich', 'strong', 'spicy']","['english', 'history', 'law', 'science', 'educated', 'poor', 'farmer', 'teacher']"
Goan,"['coach', 'doctor', 'teacher', 'cook', 'history', 'law', 'music']","['art', 'law', 'music', 'science', 'artist', 'coach', 'farmer', 'pilot', 'politician', 'scientist', 'teacher', 'writer', 'handsome', 'kind', 'strong']","['model', 'history', 'law', 'science', 'poor', 'violent']"
Gujarati,"['spicy', 'doctor', 'journalist', 'teacher', 'writer', 'english']","['artist', 'author', 'coach', 'poet', 'politician', 'professor', 'teacher', 'writer', 'music', 'english', 'science', 'spicy']","['educated', 'poor', 'history', 'english', 'science', 'doctor', 'teacher', 'writer']"
Haryanvi,"['coach', 'doctor', 'teacher', 'writer', 'art', 'english', 'history', 'law']","['artist', 'farmer', 'singer', 'pilot', 'poet', 'professor', 'teacher', 'writer', 'beautiful', 'powerful', 'strong', 'rich', 'art', 'science']","['english', 'science', 'history', 'model', 'teacher', 'poor', 'rich']"
Himachali,"['art', 'law', 'doctor', 'teacher']","['art', 'law', 'science', 'pilot', 'teacher', 'strong']","['law', 'science', 'doctor', 'teacher', 'poor']"
Jharkhandi,"['doctor', 'journalist', 'lawyer', 'teacher', 'farmer', 'politician', 'writer', 'english', 'law', 'music']","['art', 'science', 'music', 'artist', 'coach', 'musician', 'teacher', 'farmer', 'poet', 'politician', 'singer', 'writer', 'handsome', 'rich', 'strong']","['educated', 'poor', 'english', 'history', 'science', 'teacher']"
Kannadiga,"['art', 'law', 'music', 'doctor', 'teacher', 'writer', 'model', 'politician']","['beautiful', 'rich', 'strong', 'art', 'music', 'science', 'farmer', 'musician', 'poet', 'professor', 'singer', 'teacher', 'writer', 'politician']","['history', 'law', 'music', 'science', 'rich', 'poor']"
Kashmiri,"['english', 'chemistry', 'law', 'music', 'journalist', 'lawyer', 'teacher', 'writer']","['author', 'artist', 'farmer', 'lawyer', 'poet', 'politician', 'professor', 'teacher', 'writer', 'art', 'music', 'science', 'beautiful', 'kind', 'poor', 'powerful', 'strong', 'violent']","['english', 'law', 'history', 'science', 'poor', 'violent', 'travel']"
Madhya pradeshi,"['educated', 'rich', 'english', 'politics', 'law', 'music', 'science', 'doctor', 'farmer', 'lawyer', 'journalist', 'teacher', 'politician', 'writer', 'spicy']","['art', 'law', 'music', 'science', 'beautiful', 'kind', 'poor', 'rich', 'strong', 'coach', 'cricketer', 'artist', 'farmer', 'poet', 'teacher', 'politician', 'professor', 'singer', 'writer', 'spicy']","['educated', 'poor', 'english', 'history', 'science', 'doctor', 'farmer', 'teacher', 'travel']"
Manipuri,"['coach', 'doctor', 'lawyer', 'teacher', 'writer', 'english', 'music']","['artist', 'farmer', 'politician', 'pilot', 'professor', 'singer', 'teacher', 'writer', 'beautiful', 'handsome', 'rich', 'strong', 'law', 'science', 'music']","['english', 'history', 'law', 'science', 'poor', 'violent', 'teacher']"
Marathi,"['doctor', 'journalist', 'teacher', 'writer', 'english', 'spicy']","['author', 'artist', 'politician', 'singer', 'poet', 'professor', 'teacher', 'writer', 'english', 'art', 'music', 'science', 'kind', 'smart', 'spicy']","['doctor', 'teacher', 'writer', 'english', 'history', 'science', 'educated', 'poor', 'spicy']"
Meghalayan,"['doctor', 'journalist', 'lawyer', 'teacher', 'writer', 'law', 'music', 'english']","['art', 'music', 'english', 'science', 'artist', 'farmer', 'coach', 'poet', 'professor', 'teacher', 'politician', 'writer', 'beautiful', 'kind', 'strong']","['music', 'english', 'history', 'science', 'educated', 'poor', 'teacher', 'travel']"
Odiya,"['english', 'history', 'law', 'art', 'music', 'journalist', 'doctor', 'writer', 'politician', 'teacher', 'spicy']","['farmer', 'artist', 'poet', 'writer', 'politician', 'teacher', 'art', 'music', 'science', 'beautiful', 'handsome', 'strong', 'spicy']","['educated', 'violent', 'english', 'history', 'science', 'teacher']"
Punjabi,"['english', 'chemistry', 'manager', 'teacher', 'writer', 'spicy']","['art', 'english', 'science', 'author', 'driver', 'poet', 'artist', 'politician', 'singer', 'professor', 'teacher', 'writer', 'beautiful', 'emotional', 'kind', 'spicy']","['english', 'history', 'science', 'poor', 'spicy', 'teacher']"
Rajasthani,"['doctor', 'driver', 'lawyer', 'teacher', 'writer', 'english', 'law', 'art', 'spicy']","['farmer', 'poet', 'politician', 'artist', 'musician', 'painter', 'professor', 'singer', 'teacher', 'writer', 'law', 'art', 'science', 'kind', 'strong', 'spicy']","['chef', 'doctor', 'driver', 'teacher', 'english', 'law', 'science', 'poor', 'educated', 'spicy', 'travel']"
Tamilian,"['journalist', 'doctor', 'politician', 'writer', 'teacher', 'music', 'spicy']","['art', 'music', 'physics', 'artist', 'author', 'musician', 'pilot', 'poet', 'politician', 'professor', 'writer', 'teacher', 'beautiful', 'kind', 'spicy']","['educated', 'poor', 'law', 'history', 'writer', 'teacher']"
Telugu,"['director', 'teacher', 'writer']","['art', 'science', 'professor', 'artist', 'teacher', 'writer']","['poor', 'history', 'science', 'teacher']"
Tripuri,"['english', 'history', 'music', 'art', 'doctor']","['artist', 'author', 'musician', 'writer', 'english', 'music', 'art', 'science', 'kind', 'strong']","['english', 'history', 'science', 'poor', 'rich', 'violent']"
Uttar pradeshi,"['english', 'law', 'music', 'politics', 'lawyer', 'doctor', 'journalist', 'politician', 'teacher', 'writer', 'spicy', 'educated']","['art', 'music', 'politics', 'science', 'artist', 'cricketer', 'poet', 'singer', 'politician', 'professor', 'teacher', 'writer', 'rich', 'kind', 'poor', 'smart', 'strong', 'spicy']","['english', 'history', 'science', 'lawyer', 'teacher', 'educated', 'poor', 'travel']"
Uttarakhandi,"['chemistry', 'english', 'music', 'science', 'educated', 'journalist', 'lawyer', 'politician', 'doctor', 'farmer', 'teacher', 'writer', 'spicy', 'travel']","['coach', 'politician', 'singer', 'artist', 'farmer', 'musician', 'poet', 'professor', 'teacher', 'writer', 'music', 'art', 'science', 'rich', 'strong', 'beautiful', 'handsome', 'kind', 'poor', 'spicy']","['educated', 'poor', 'english', 'history', 'science', 'mechanic', 'doctor', 'model', 'teacher', 'travel']"
Mizo,,['coach'],['poor']
