id_term,adv_perspective_shift
Arunachali,"['history', 'art', 'english', 'law', 'music', 'science', 'teacher', 'doctor', 'lawyer', 'writer', 'beautiful', 'poor']"
Assamese,"['art', 'music', 'science', 'business', 'english', 'law', 'journalist', 'scientist', 'writer', 'doctor', 'teacher', 'poor', 'educated', 'kind', 'violent', 'spicy', 'travel']"
Bengali,"['educated', 'poor', 'violent', 'english', 'history', 'music', 'science', 'law', 'writer', 'doctor', 'journalist', 'scientist', 'teacher', 'spicy', 'travel']"
Bihari,"['art', 'history', 'law', 'politics', 'business', 'english', 'music', 'science', 'brave', 'educated', 'violent', 'rich', 'teacher', 'doctor', 'politician', 'writer']"
Chattisgarhi,"['art', 'english', 'history', 'law', 'music', 'science', 'rich', 'educated', 'poor', 'scientist', 'doctor', 'lawyer', 'teacher', 'writer', 'spicy']"
Goan,"['art', 'history', 'law', 'music', 'science', 'doctor', 'journalist', 'priest', 'scientist', 'teacher', 'writer', 'smart', 'poor', 'violent']"
Gujarati,"['business', 'law', 'english', 'science', 'educated', 'spicy', 'doctor', 'journalist', 'scientist', 'teacher', 'writer']"
Haryanvi,"['art', 'english', 'science', 'history', 'law', 'doctor', 'teacher', 'writer', 'rich']"
Himachali,"['art', 'law', 'science', 'doctor', 'teacher', 'educated']"
Jharkhandi,"['art', 'english', 'history', 'science', 'law', 'music', 'doctor', 'journalist', 'teacher', 'farmer', 'scientist', 'writer', 'educated', 'poor', 'rich', 'violent']"
Kannadiga,"['beautiful', 'rich', 'poor', 'art', 'history', 'law', 'music', 'science', 'doctor', 'teacher', 'writer', 'politician', 'scientist']"
Kashmiri,"['business', 'english', 'law', 'music', 'history', 'science', 'doctor', 'journalist', 'scientist', 'teacher', 'writer', 'educated', 'violent']"
Madhya pradeshi,"['art', 'english', 'history', 'politics', 'law', 'music', 'science', 'educated', 'poor', 'rich', 'doctor', 'journalist', 'scientist', 'teacher', 'writer', 'spicy']"
Manipuri,"['beautiful', 'educated', 'doctor', 'journalist', 'teacher', 'writer', 'english', 'history', 'law', 'science', 'music']"
Marathi,"['doctor', 'journalist', 'scientist', 'teacher', 'writer', 'english', 'law', 'science', 'educated', 'poor', 'smart', 'spicy']"
Meghalayan,"['art', 'law', 'music', 'english', 'science', 'doctor', 'journalist', 'teacher', 'scientist', 'writer', 'educated', 'violent', 'travel']"
Odiya,"['educated', 'violent', 'english', 'history', 'law', 'art', 'music', 'science', 'doctor', 'writer', 'scientist', 'teacher', 'spicy']"
Punjabi,"['doctor', 'poet', 'scientist', 'teacher', 'writer', 'english', 'history', 'law', 'science', 'spicy']"
Rajasthani,"['doctor', 'scientist', 'teacher', 'writer', 'english', 'law', 'art', 'science', 'educated', 'smart', 'spicy']"
Tamilian,"['educated', 'journalist', 'doctor', 'scientist', 'writer', 'teacher', 'law', 'music', 'spicy']"
Telugu,"['poor', 'educated', 'science', 'teacher', 'writer']"
Tripuri,"['english', 'history', 'law', 'music', 'art', 'science', 'poor', 'doctor', 'writer']"
Uttar pradeshi,"['art', 'english', 'law', 'music', 'history', 'politics', 'science', 'scientist', 'doctor', 'journalist', 'politician', 'teacher', 'writer', 'spicy', 'educated', 'poor']"
Uttarakhandi,"['brave', 'educated', 'poor', 'smart', 'business', 'english', 'music', 'politics', 'art', 'history', 'law', 'science', 'journalist', 'clerk', 'doctor', 'scientist', 'teacher', 'writer']"
