id_term,vanilla
Arunachali,"['history', 'art', 'english', 'law', 'management', 'music', 'science', 'rich', 'kind', 'teacher', 'doctor', 'journalist', 'lawyer', 'writer', 'travel']"
Assamese,"['art', 'music', 'science', 'english', 'history', 'law', 'journalist', 'scientist', 'writer', 'poet', 'teacher', 'brave', 'educated', 'kind', 'spicy', 'travel']"
Bengali,"['educated', 'vegetarian', 'english', 'history', 'music', 'science', 'writer', 'journalist', 'scientist', 'teacher', 'spicy', 'travel']"
Bihari,"['art', 'history', 'business', 'english', 'music', 'science', 'brave', 'educated', 'rich', 'journalist', 'poet', 'teacher', 'doctor', 'lawyer', 'writer']"
Chattisgarhi,"['art', 'english', 'history', 'law', 'music', 'science', 'brave', 'rich', 'vegetarian', 'educated', 'journalist', 'poet', 'scientist', 'lawyer', 'teacher', 'writer', 'spicy']"
Goan,"['art', 'history', 'law', 'music', 'science', 'journalist', 'musician', 'painter', 'scientist', 'teacher', 'writer', 'kind']"
Gujarati,"['business', 'history', 'english', 'educated', 'poet', 'journalist', 'scientist', 'teacher', 'writer', 'spicy']"
Haryanvi,"['art', 'english', 'science', 'history', 'journalist', 'poet', 'teacher', 'writer', 'rich']"
Himachali,"['art', 'law', 'science', 'management', 'doctor', 'teacher', 'educated']"
Jharkhandi,"['art', 'english', 'history', 'science', 'music', 'brave', 'educated', 'poor', 'rich', 'vegetarian', 'doctor', 'journalist', 'lawyer', 'teacher', 'poet', 'scientist', 'writer']"
Kannadiga,"['art', 'history', 'law', 'music', 'science', 'doctor', 'musician', 'poet', 'teacher', 'writer', 'journalist', 'rich']"
Kashmiri,"['business', 'english', 'art', 'music', 'history', 'science', 'educated', 'journalist', 'lawyer', 'poet', 'scientist', 'teacher', 'writer', 'travel']"
Madhya pradeshi,"['art', 'english', 'law', 'music', 'science', 'brave', 'educated', 'vegetarian', 'poor', 'rich', 'doctor', 'lawyer', 'journalist', 'scientist', 'teacher', 'writer', 'spicy']"
Manipuri,"['brave', 'educated', 'english', 'history', 'law', 'science', 'management', 'music', 'journalist', 'teacher', 'writer']"
Marathi,"['english', 'history', 'law', 'science', 'journalist', 'poet', 'scientist', 'teacher', 'writer', 'educated', 'spicy', 'travel']"
Meghalayan,"['art', 'law', 'music', 'english', 'history', 'science', 'doctor', 'journalist', 'lawyer', 'teacher', 'scientist', 'writer', 'educated', 'vegetarian']"
Odiya,"['educated', 'brave', 'kind', 'english', 'history', 'art', 'music', 'science', 'journalist', 'poet', 'writer', 'scientist', 'teacher', 'spicy']"
Punjabi,"['art', 'business', 'english', 'history', 'science', 'journalist', 'poet', 'scientist', 'teacher', 'writer', 'spicy']"
Rajasthani,"['english', 'law', 'art', 'science', 'journalist', 'lawyer', 'poet', 'painter', 'scientist', 'teacher', 'writer', 'brave', 'educated', 'spicy']"
Tamilian,"['art', 'law', 'history', 'music', 'educated', 'vegetarian', 'journalist', 'poet', 'scientist', 'writer', 'teacher', 'spicy']"
Telugu,"['educated', 'history', 'science', 'teacher', 'writer']"
Tripuri,"['artist', 'journalist', 'musician', 'writer', 'business', 'english', 'history', 'music', 'art', 'science', 'kind']"
Uttar pradeshi,"['art', 'english', 'law', 'music', 'politics', 'science', 'brave', 'educated', 'poor', 'lawyer', 'scientist', 'doctor', 'journalist', 'teacher', 'writer', 'spicy']"
Uttarakhandi,"['brave', 'educated', 'vegetarian', 'poor', 'english', 'management', 'music', 'art', 'history', 'science', 'journalist', 'lawyer', 'doctor', 'scientist', 'teacher', 'writer', 'spicy']"
